,population,city,province,# restaurants,restaurants per capita,population per restaurant,restaurants per 10k people,"city, state"
242,112118.0,Pompano Beach,FL,29,0.00025865605879519794,3866.137931034483,2.586560587951979,"Pompano Beach, FL"
243,111955.0,West Palm Beach,FL,46,0.0004108793711759189,2433.804347826087,4.10879371175919,"West Palm Beach, FL"
244,111502.0,Antioch,CA,7,6.27791429750139e-05,15928.857142857143,0.627791429750139,"Antioch, CA"
245,111475.0,Everett,WA,17,0.00015250056066382596,6557.35294117647,1.5250056066382596,"Everett, WA"
246,111126.0,Downey,CA,6,5.399276496949409e-05,18521.0,0.5399276496949409,"Downey, CA"
247,110997.0,Lowell,MA,4,3.603701000927953e-05,27749.25,0.3603701000927953,"Lowell, MA"
248,110849.0,Elgin,IL,9,8.119153082120722e-05,12316.555555555555,0.8119153082120724,"Elgin, IL"
249,110567.0,Richmond,CA,7,6.331002921305633e-05,15795.285714285714,0.6331002921305634,"Richmond, CA"
250,110417.0,Peoria,IL,15,0.0001358486464946521,7361.133333333333,1.358486464946521,"Peoria, IL"
251,110198.0,Broken Arrow,OK,14,0.00012704404798635183,7871.285714285715,1.2704404798635185,"Broken Arrow, OK"
252,110001.0,Miami Gardens,FL,1,9.0908264470323e-06,110001.0,0.090908264470323,"Miami Gardens, FL"
253,109577.0,Billings,MT,14,0.00012776403807368336,7826.928571428572,1.2776403807368333,"Billings, MT"
254,109381.0,Gresham,OR,14,0.00012799297867088433,7812.928571428572,1.2799297867088433,"Gresham, OR"
255,109212.0,Lewisville,TX,6,5.49390176903637e-05,18202.0,0.5493901769036369,"Lewisville, TX"
256,109128.0,Hillsboro,OR,9,8.247195953375852e-05,12125.333333333334,0.8247195953375852,"Hillsboro, OR"
257,108649.0,Greeley,CO,11,0.00010124345369032388,9877.181818181818,1.0124345369032388,"Greeley, CO"
258,108151.0,Inglewood,CA,13,0.00012020230973361319,8319.307692307691,1.2020230973361319,"Inglewood, CA"
259,107568.0,Waterbury,CT,9,8.366800535475234e-05,11952.0,0.8366800535475234,"Waterbury, CT"
260,107536.0,League City,TX,6,5.579526856122601e-05,17922.666666666668,0.5579526856122601,"League City, TX"
