,name,address,city,province,latitude,longitude
25164,arbysclosed,786 W Ervin Rd,Van Wert,OH,40.85859,-84.596774
25165,kentuckyfriedchicken,111 E Puainako St,Hilo,HI,19.69899,-155.061619
25166,subway,488 Main St,Harleysville,PA,40.279082,-75.387262
25167,burgerking,583 S Lapeer Rd,Oxford,MI,42.816611,-83.257029
25168,subway,29486 Woodward Ave,Royal Oak,MI,42.507525,-83.175453
25169,subway,2519 W Lake St,Melrose Park,IL,41.895051,-87.864981
25170,bannastrowscrepescoffeedadelmall,7537 N Kendall Dr,Miami,FL,25.689839,-80.312848
25171,wafflehouse,2621 S Horner Blvd,Sanford,NC,35.457911,-79.142385
25172,wendys,7760 W Bellfort St,Houston,TX,29.656397,-95.513538
25173,wendys,217 Washington Ave,Endicott,NY,42.099247,-76.047575
25174,subway,774 N High St,Chillicothe,OH,39.348887,-82.99675
25175,whataburger,6288 US Highway 271,Tyler,TX,32.395117,-95.269234
25176,subway,3238 Riverside Dr,Danville,VA,36.583837,-79.426855
25177,dairyqueen,3130 Lovers Ln,Kalamazoo,MI,42.259782,-85.567665
25178,dunkindonuts,4440 Okeechobee Blvd,West Palm Beach,FL,26.706451,-80.109996
25179,sonicdrivein,891 E Cherry St,Troy,MO,38.983474,-90.970677
25180,fastpizzadelivery,327 Moffett Blvd,Mountain View,CA,37.397882,-122.075131
25181,dominospizza,2636 US Highway 411 S,Maryville,TN,35.714333,-84.018516
25182,tacobell,2421 N Dinuba Blvd,Visalia,CA,36.351456,-119.297394
25183,tacobell,2535 Gallia St,Portsmouth,OH,38.740152,-82.96551
25184,tacobell,5562 WSC,Provo,UT,40.24862,-111.647607
25185,whataburger,1101 1st St S,Alabaster,AL,33.233325,-86.810006
25186,subway,1038 W Galena Ave,Freeport,IL,42.301917,-89.638087
25187,dominospizza,822 Gay St,Portsmouth,OH,38.736968,-82.993979
25188,popeyeslouisianakitchen,700 Sterlington Road,Monroe,LA,32.5283,-92.08005
25189,popeyeslouisianakitchen,410 S Main Street,Farmerville,LA,32.77134,-92.40546
25190,raisingcaneschickenfingers,8998 Mansfield Road,Shreveport,LA,32.41099,-93.79588
25191,mcalistersdeli,2511 Beene Boulevard,Bossier City,LA,32.55922,-93.71184
25192,popeyeslouisianakitchen,1501 Joe Hoy Drive,Franklin,LA,29.80842,-91.5108
25193,dominospizza,5828 Mitchell Avenue,Purvis,MS,31.149563,-89.4623
25194,burgerking,1905 SW Railroad Avenue,Hammond,LA,30.48253,-90.45682
25195,wendys,3601 General Degaulle Drive,New Orleans,LA,29.92433,-90.02149
25196,subway,9029 Jefferson Hwy Ste A,New Orleans,LA,29.94788,-90.21333
25197,tacobell,3630 Ambassador Caffery Parkway,Lafayette,LA,30.17372,-92.06992
25198,subway,1802 W Laurel Avenue,Eunice,LA,30.49536,-92.43419
25199,subway,3636 Monroe HWay,Pineville,LA,31.367,-92.40711
25200,subway,5826 Monroe HWay,Ball,LA,31.40654,-92.41118
25201,sonicdrivein,1414 The Boulevard,Rayne,LA,30.204508,-92.24859
25202,popeyeslouisianakitchen,1243 Saint Charles Avenue,New Orleans,LA,29.94083,-90.07468
25203,subway,201 Baronne Street,New Orleans,LA,29.95323,-90.07261
25204,burgerking,1500 Johnston Street,Lafayette,LA,30.21457,-92.02214
25205,subway,8101 W Judge Perez Drive,Chalmette,LA,29.95577,-89.98436
25206,wendys,714 W Prien Lake Road,Lake Charles,LA,30.19863,-93.23198
25207,wendys,2026 Ruth Street,Sulphur,LA,30.21956,-93.37583
25208,sonicdrivein,2302 Veterans Memorial Boulevard,Kenner,LA,30.00652,-90.23672
25209,tacobell,1525 Marchand Drive,Donaldsonville,LA,30.101799,-90.997025
25210,mcdonalds,812 Ambassador Caffery Parkway,Lafayette,LA,30.23141,-92.06306
25211,subway,6191 N Highway 171,Lake Charles,LA,30.39701,-93.23183
25212,dairyqueengrillchill,1600 Sterlington Road,Monroe,LA,32.5376,-92.07857
25213,burgerking,5150 Forsythe Bypass,Monroe,LA,32.55079,-92.07779
25214,subway,2050 N Mall Drive,Alexandria,LA,31.27852,-92.45235
